start_date,end_date,title,description,source_time
"2026-08-14","2026-08-14","All new international undergraduate students (Class of 2030) and international first-year graduate students move-in.","DKU Academic Calendar 2026-2027. Friday at 9:00 AM. All new international undergraduate students (Class of 2030) and international first-year graduate students move-in.","Friday at 9:00 AM."
"2026-08-16","2026-08-16","All new Chinese undergraduate students (Class of 2030) and Chinese first-year graduate students move-in.","DKU Academic Calendar 2026-2027. Sunday at 9:00 AM. All new Chinese undergraduate students (Class of 2030) and Chinese first-year graduate students move-in.","Sunday at 9:00 AM."
"2026-08-21","2026-08-21","Returning undergraduate and graduate students move-in.","DKU Academic Calendar 2026-2027. Friday at 9:00 AM. Returning undergraduate and graduate students move-in.","Friday at 9:00 AM."
"2026-08-24","2026-08-24","Undergraduate and graduate classes begin.","DKU Academic Calendar 2026-2027. Monday. Undergraduate and graduate classes begin.","Monday."
"2026-08-27","2026-08-27","Drop/add ends for first 7-week undergraduate session.","DKU Academic Calendar 2026-2027. Thursday. Drop/add ends for first 7-week undergraduate session.","Thursday."
"2026-09-03","2026-09-03","Drop/add ends for 14-week undergraduate session.","DKU Academic Calendar 2026-2027. Thursday. Drop/add ends for 14-week undergraduate session.","Thursday."
"2026-09-04","2026-09-04","Drop/add ends for graduate classes.","DKU Academic Calendar 2026-2027. Friday. Drop/add ends for graduate classes.","Friday."
"2026-09-18","2026-09-18","Classes continue. The Thursday class meeting schedule is in effect on this day.","DKU Academic Calendar 2026-2027. Friday. Classes continue. The Thursday class meeting schedule is in effect on this day.","Friday."
"2026-09-24","2026-09-24","Last day to withdraw with a W grade of first 7-week classes; last day to change grading basis of first 7-week classes; last day to resolve I grade of second seven-week classes in spring 2026.","DKU Academic Calendar 2026-2027. Thursday. Last day to withdraw with a W grade of first 7-week classes; last day to change grading basis of first 7-week classes; last day to resolve I grade of second seven-week classes in spring 2026.","Thursday."
"2026-09-25","2026-09-27","Mid-Autumn Festival - No classes.","DKU Academic Calendar 2026-2027. Friday - Sunday. Mid-Autumn Festival - No classes.","Friday - Sunday."
"2026-10-01","2026-10-11","National Day Holiday - No classes.","DKU Academic Calendar 2026-2027. Thursday - Sunday. National Day Holiday - No classes.","Thursday - Sunday."
"2026-10-12","2026-10-12","All classes resume.","DKU Academic Calendar 2026-2027. Monday. All classes resume.","Monday."
"2026-10-15","2026-10-15","First 7-week undergraduate session ends.","DKU Academic Calendar 2026-2027. Thursday. First 7-week undergraduate session ends.","Thursday."
"2026-10-16","2026-10-18","Undergraduate reading period.","DKU Academic Calendar 2026-2027. Friday - Sunday. Undergraduate reading period.","Friday - Sunday."
"2026-10-19","2026-10-22","First 7-week undergraduate session final examinations. Graduate classes continue.","DKU Academic Calendar 2026-2027. Monday - Thursday. First 7-week undergraduate session final examinations. Graduate classes continue.","Monday - Thursday."
"2026-10-26","2026-10-26","Second 7-week undergraduate session begins.","DKU Academic Calendar 2026-2027. Monday. Second 7-week undergraduate session begins.","Monday."
"2026-10-29","2026-10-29","Drop/add ends for second 7-week undergraduate session.","DKU Academic Calendar 2026-2027. Thursday. Drop/add ends for second 7-week undergraduate session.","Thursday."
